,id,brand,category,colorway,condition,countryOfManufacture,dataType,listingType,minimumBid,gender,name,productCategory,releaseDate,belowRetail,lowestAskThresholdMet,retailPrice,shoe,shortDescription,styleId,title,lowestAsk,lowestAskSize,numberOfAsks,hasAsks,salesThisPeriod,salesLastPeriod,highestBid,highestBidSize,numberOfBids,hasBids,annualHigh,annualLow,deadstockRangeLow,deadstockRangeHigh,volatility,deadstockSold,pricePremium,averageDeadstockPrice,lastSale,lastSaleSize,salesLast72Hours,changeValue,changePercentage,absChangePercentage,totalDollars,lastLowestAskTime,lastHighestBidTime,lastSaleDate,deadstockSoldRank,pricePremiumRank,averageDeadstockPriceRank
109,,Nike,Air Max 95,Summit White/Champagne/Orange Pearl/Black,New,CN,product,standard,1.0,women,Champagne (W),sneakers,2020-12-16,True,False,170.0,Nike Air Max 95,Nike-Air-Max-95-Champagne-W,CV8828-100,Nike Air Max 95 Champagne (W),95.0,,19.0,1,0.0,1.0,80.0,,39.0,1,216.0,63.0,65,103,0.228682,134.0,-0.507,102.0,84.0,,0.0,-8,-0.095261,0.095261,13619.0,1677004631,1675142688,2023-02-21T10:35:26Z,5,62,57
110,,Nike,Air Max 90,White/Black/Volt/Blue Fury,New,CN,product,standard,1.0,men,Worldwide,sneakers,2020-07-16,True,False,130.0,Nike Air Max 90 SE,Nike-Air-Max-90-SE-Worldwide,CZ6419-100,Nike Air Max 90 SE Worldwide,99.0,8.0,32.0,1,0.0,0.0,100.0,13.0,58.0,1,241.0,60.0,104,161,0.213889,109.0,0.02,115.0,133.0,10.0,0.0,-6,-0.047041,0.047041,12567.0,1676005541,1677156172,2023-02-21T21:35:14Z,90,36,46
111,,Nike,Air Max 720,Summit White/Racer Blue,New,CN,product,standard,1.0,men,OBJ Slip White,sneakers,2020-04-01,True,True,200.0,Nike Air Max 720,Nike-Air-Max-720-OBJ-Slip-White,DA4155-100,Nike Air Max 720 OBJ Slip White,150.0,10.0,22.0,1,0.0,0.0,138.0,11.0,47.0,1,240.0,90.0,125,175,0.165209,94.0,-0.25,155.0,150.0,9.5,0.0,-16,-0.09816,0.09816,14603.0,1676724517,1677036532,2023-02-18T01:20:14Z,23,46,68
112,,Nike,Air Force One,Black/Tiffany Blue,New,CN,product,standard,1.0,men,Tiffany And Co.,sneakers,2023-03-07,False,True,400.0,Nike Air Force 1 Low SP,Nike-Air-Force-1-Low-SP-Tiffany-And-Co,DZ1382-001,Nike Air Force 1 Low SP Tiffany And Co.,1090.0,6.5,239.0,1,294.0,137.0,1500.0,15.0,612.0,1,4831.0,829.0,1171,1477,0.11562,534.0,2.311,1516.0,1325.0,10.0,294.0,325,0.324346,0.324346,809787.0,1677414453,1677312889,2023-02-26T20:35:34Z,32,50,95
113,,Nike,Air Force One,Black/White,New,CN,product,standard,1.0,men,Black White Pebbled Leather,sneakers,2021-04-01,True,False,90.0,"""Nike Air Force 1 Low '07""",Nike-Air-Force-1-Low-07-Black-White-Pebbled-Leather,CT2302-002,"""Nike Air Force 1 Low '07 Black White Pebbled Leather""",75.0,12.0,248.0,1,13.0,20.0,85.0,8.0,101.0,1,203.0,55.0,58,88,0.202023,1196.0,-0.189,100.0,73.0,10.0,13.0,-16,-0.179775,0.179775,119465.0,1677334513,1677108370,2023-02-26T19:57:51Z,12,25,21
114,,Nike,Air Force One,Court Blue/White-Goldtone,New,VN,product,standard,1.0,men,Undefeated 5 On It Blue Yellow Croc,sneakers,2021-09-08,True,False,120.0,Nike Air Force 1 Low SP,Nike-Air-Force-1-Low-Undefeated-Dunk-Vs-AF1-Croc-Blue-Yellow,DM8462-400,Nike Air Force 1 Low SP Undefeated 5 On It Blue Yellow Croc,85.0,4.0,593.0,1,7.0,5.0,105.0,12.5,124.0,1,201.0,45.0,71,99,0.168851,1906.0,-0.292,109.0,85.0,6.5,7.0,-12,-0.123711,0.123711,207287.0,1677192182,1677104614,2023-02-23T17:42:49Z,21,36,64
115,,Nike,Air Force One,Black/Black-Black,New,CN,product,standard,1.0,women,Triple Black (W),sneakers,2019-10-03,True,True,110.0,Nike Air Force 1 Low Shadow,Nike-Air-Force-1-Shadow-Triple-Black-W,CI0919-001,Nike Air Force 1 Shadow Triple Black (W),108.0,,97.0,1,5.0,2.0,100.0,,62.0,1,235.0,57.0,126,174,0.157027,288.0,0.363,127.0,150.0,,5.0,32,0.270971,0.270971,36560.0,1677309586,1677249748,2023-02-25T07:55:58Z,79,38,93
116,,Nike,Air Force One,White/White-Midnight Navy-Gum Yellow,New,VN,product,standard,1.0,men,Jewel NYC White Midnight Navy,sneakers,2022-05-20,True,False,140.0,Nike Air Force 1 Mid QS,Nike-Air-Force-1-Mid-Jewel-NYC-White,DH5622-100,Nike Air Force 1 Mid QS Jewel NYC White Midnight Navy,70.0,15.0,178.0,1,3.0,5.0,100.0,6.5,90.0,1,260.0,54.0,110,134,0.0,853.0,-0.35,122.0,91.0,10.0,3.0,1,0.011111,0.011111,103798.0,1677229987,1676444909,2023-02-23T21:32:18Z,33,14,51
117,,Nike,Air Force One,Sail/Orange Chalk/Dark Obsidian/Pink Glaze,New,ID,product,standard,1.0,women,Sail Pink Glaze (W),sneakers,2021-10-18,True,True,110.0,Nike Air Force 1 Low Shadow,Nike-Air-Force-1-Shadow-Sail-Pink-Glaze-W,CI0919-111,Nike Air Force 1 Low Shadow Sail Pink Glaze (W),102.0,,97.0,1,2.0,2.0,125.0,,63.0,1,204.0,63.0,88,116,0.132514,1100.0,-0.073,121.0,102.0,,2.0,0,-0.001081,0.001081,133359.0,1677275700,1677142460,2023-02-24T21:54:16Z,12,91,42
118,,Nike,Air Force One,Sail/Black/Wheat Grass/Sanded Gold,New,VN,product,standard,1.0,men,Next Nature Sun Club Wheat Grass,sneakers,2022-08-01,True,True,110.0,"""Nike Air Force 1 Low '07 LV8""",Nike-Air-Force-1-Low-07-LV8-Next-Nature-Sun-Club-Wheat-Grass,DM0117-100,"""Nike Air Force 1 Low '07 LV8 Next Nature Sun Club Wheat Grass""",104.0,8.0,90.0,1,2.0,4.0,88.0,9.0,43.0,1,167.0,84.0,125,155,0.109145,208.0,0.273,115.0,140.0,12.0,2.0,19,0.157025,0.157025,23841.0,1676690264,1677191106,2023-02-25T22:37:58Z,9,33,5
