,id,brand,category,colorway,condition,countryOfManufacture,dataType,listingType,minimumBid,gender,name,productCategory,releaseDate,belowRetail,lowestAskThresholdMet,retailPrice,shoe,shortDescription,styleId,title,lowestAsk,lowestAskSize,numberOfAsks,hasAsks,salesThisPeriod,salesLastPeriod,highestBid,highestBidSize,numberOfBids,hasBids,annualHigh,annualLow,deadstockRangeLow,deadstockRangeHigh,volatility,deadstockSold,pricePremium,averageDeadstockPrice,lastSale,lastSaleSize,salesLast72Hours,changeValue,changePercentage,absChangePercentage,totalDollars,lastLowestAskTime,lastHighestBidTime,lastSaleDate,deadstockSoldRank,pricePremiumRank,averageDeadstockPriceRank
54,,Nike,Nike Dunk,Light Orewood Brown/White/Red,New,CN,product,standard,1.0,men,Notre Light Orewood Brown,sneakers,2021-01-21,False,True,150.0,Nike Dunk High,Nike-Dunk-High-Notre-Light-Orewood-Brown,CW3092-100,Nike Dunk High Notre Light Orewood Brown,195.0,9.5,130.0,1,0.0,0.0,225.0,14.0,90.0,1,622.0,121.0,240,307,0.123325,137.0,0.822,256.0,274.0,8.0,0.0,62,0.289425,0.289425,35059.0,1677397132,1676533738,2023-02-19T19:19:29Z,67,19,18
55,,Nike,Dunk Low,White/Pink/Yellow,New,VN,product,standard,25.0,women,Pink Oxford (W),sneakers,2022-08-01,False,True,110.0,Nike Dunk Low Disrupt 2,Nike-Dunk-Low-Disrupt-2-Pink-Oxford-W,DV4024-001,Nike Dunk Low Disrupt 2 Pink Oxford (W),135.0,,26.0,1,0.0,0.0,100.0,,48.0,1,231.0,97.0,97,163,0.257227,71.0,0.182,137.0,130.0,,0.0,-101,-0.438305,0.438305,9731.0,1677117926,1677388390,2023-02-15T04:08:14Z,87,43,31
56,,Nike,Nike Dunk,Blush/Seafoam Green,New,CN,product,standard,1.0,women,Forbidden City (W),sneakers,2020-12-18,False,True,153.0,Nike Dunk Low Disrupt,Nike-Dunk-Low-Disrupt-Forbidden-City-W,DC3282-013,Nike Dunk Low Disrupt Forbidden City (W),177.0,,42.0,1,0.0,0.0,200.0,,36.0,1,438.0,160.0,107,213,0.334306,16.0,0.046,237.0,160.0,,0.0,-3,-0.018405,0.018405,3794.0,1677410976,1675619844,2023-02-06T12:43:00Z,80,32,19
57,,Nike,Nike Dunk,Lyon Blue/Black,New,CN,product,standard,1.0,men,Royal,sneakers,2015-03-01,False,True,100.0,Nike Dunk CMFT,Nike-Dunk-CMFT-Royal,705434-400,Nike Dunk CMFT Royal,300.0,13.0,12.0,1,0.0,0.0,68.0,13.0,31.0,1,200.0,111.0,198,282,0.175209,5.0,1.4,156.0,240.0,11.0,0.0,105,0.777778,0.777778,778.0,1677433455,1676645863,2023-02-15T03:18:15Z,36,8,74
58,,Nike,Nike Dunk,White/Black-Medium Grey,New,CN,product,standard,1.0,men,Haze,sneakers,2003-07-15,False,True,0.0,Nike Dunk Low,Nike-Dunk-Low-Haze,306793-101,Nike Dunk Low Haze,3000.0,10.0,8.0,1,0.0,0.0,711.0,9.5,22.0,1,1029.0,1000.0,1014,1044,0.014091,3.0,0.0,1010.0,1029.0,10.5,0.0,29,0.029,0.029,3029.0,1676557231,1676648629,2022-11-13T20:03:48Z,47,1,46
59,,Nike,Nike Dunk,Light Stone/White-Faded Olive,New,CN,product,standard,1.0,men,Light Stone,sneakers,,False,True,120.0,Nike Dunk Low,Nike-Dunk-Low-Light-Stone,624044-113,Nike Dunk Low Light Stone,1350.0,8.0,3.0,1,0.0,0.0,621.0,11.0,26.0,1,1102.0,500.0,852,1352,0.226845,2.0,8.183,801.0,1102.0,8.0,0.0,602,1.204,1.204,1602.0,1677011532,1677148001,2022-09-07T15:04:56Z,78,70,91
60,,Nike,Nike Dunk,Neutral Grey/Neutral Grey-Black-White,New,CN,product,standard,25.0,men,Neutral Grey Woven,sneakers,2009-01-01,True,False,108.0,Nike Dunk High,Nike-Dunk-High-Neutral-Grey-Woven,317891-007,Nike Dunk High Neutral Grey Woven,0.0,,0.0,0,0.0,0.0,28.0,8.0,1.0,1,234.0,234.0,0,0,0.0,1.0,0.0,234.0,234.0,10.5,0.0,0,0,0,234.0,0,1675308394,2022-03-09T03:31:02Z,26,60,42
61,,Nike,Nike Dunk,Black/White,New,CN,product,standard,1.0,men,Alife ARC,sneakers,2009-08-01,False,True,158.0,Nike Dunk High,Nike-Dunk-High-Alife-ARC,370353-011,Nike Dunk High Alife ARC,325.0,9.0,2.0,1,0.0,0.0,251.0,11.0,13.0,1,117.0,117.0,0,0,0.0,1.0,0.0,117.0,117.0,9.0,0.0,17,0.17,0.17,117.0,1676513433,1676162542,2022-12-14T12:38:25Z,73,67,85
62,,Nike,Nike Dunk,Neutral Grey/Bright Mango-White,New,CN,product,standard,1.0,women,Neutral Grey/Bright Mango-White (W),sneakers,,False,False,0.0,Nike Dunk Low CL,Nike-Dunk-Low-CL-Neutral-Grey-Bright-Mango-White-W,317815-081,Nike Dunk Low CL Neutral Grey/Bright Mango-White (W),0.0,,0.0,0,0.0,0.0,160.0,,6.0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0.0,0,1677039672,,63,65,15
63,,New Balance,New Balance 550,White/Green,New,CN,product,standard,1.0,men,White Green,sneakers,2021-06-24,False,True,120.0,New Balance 550,New-Balance-550-White-Green,BB550WT1,New Balance 550 White Green,135.0,9.0,1205.0,1,208.0,243.0,152.0,5.5,458.0,1,920.0,115.0,137,175,0.120737,18181.0,0.3,217.0,156.0,6.5,208.0,-2,-0.012658,0.012658,3937955.0,1677420481,1677448066,2023-02-26T21:47:18Z,70,67,47
64,,New Balance,New Balance Other,Sea Salt/Surf,New,VN,product,standard,1.0,men,Sea Salt,sneakers,2022-07-19,False,True,150.0,New Balance 9060,New-Balance-9060-Sea-Salt,U9060MAC,New Balance 9060 Sea Salt,188.0,4.5,147.0,1,24.0,19.0,255.0,15.0,100.0,1,377.0,120.0,187,243,0.12857,1813.0,0.433,199.0,215.0,10.0,24.0,3,0.013956,0.013956,360745.0,1677339075,1675802794,2023-02-25T16:20:39Z,5,30,96
65,,New Balance,New Balance 550,White/Rain Cloud/Light Aluminum,New,VN,product,standard,1.0,women,White Rain Cloud (W),sneakers,2022-10-19,True,True,110.0,New Balance 550,New-Balance-550-White-Rain-Cloud-W,BBW550CB,New Balance 550 White Rain Cloud (W),101.0,,111.0,1,12.0,15.0,130.0,,67.0,1,268.0,95.0,100,174,0.269985,1182.0,0.245,152.0,137.0,,12.0,27,0.245455,0.245455,179213.0,1677410283,1677210404,2023-02-26T03:57:33Z,7,91,14
66,,New Balance,New Balance 993,Powder Pink,New,US,product,standard,1.0,men,Joe Freshgoods Performance Art Powder Pink,sneakers,2022-10-07,False,True,220.0,New Balance 993,New-Balance-993-Joe-Freshgoods-Performance-Art-Powder-Pink,MR993JH1,New Balance 993 Joe Freshgoods Performance Art Powder Pink,250.0,11.5,102.0,1,7.0,5.0,315.0,14.0,146.0,1,557.0,206.0,231,289,0.11096,708.0,0.182,288.0,260.0,7.0,7.0,-10,-0.037037,0.037037,204226.0,1677415446,1676999128,2023-02-25T23:12:27Z,0,51,54
67,,New Balance,New Balance 990v3,Olive Leaf/Black,New,US,product,standard,1.0,men,MiUSA Teddy Santis Olive Leaf,sneakers,2022-09-09,True,True,200.0,New Balance 990v3,New-Balance-990v3-MiUSA-Teddy-Santis-Green-Purple,M990TC3,New Balance 990v3 MiUSA Teddy Santis Olive Leaf,190.0,8.0,90.0,1,5.0,2.0,201.0,12.0,98.0,1,374.0,154.0,264,338,0.123694,129.0,0.504,215.0,301.0,6.5,5.0,39,0.148033,0.148033,27732.0,1677396959,1677298140,2023-02-25T04:54:29Z,86,71,75
68,,New Balance,New Balance 2002R,Deep Ocean Grey/Slate/White,New,CN,product,standard,1.0,men,Deep Ocean Grey Slate,sneakers,2022-01-26,True,True,130.0,New Balance 2002R,New-Balance-2002R-Deep-Ocean-Grey-Slate,M2002RHC,New Balance 2002R Deep Ocean Grey Slate,120.0,9.5,93.0,1,3.0,4.0,152.0,4.0,32.0,1,316.0,68.0,80,195,0.420317,767.0,0.056,148.0,138.0,9.0,3.0,34,0.322226,0.322226,113559.0,1677049485,1676655510,2023-02-21T21:52:08Z,42,35,64
69,,New Balance,New Balance Other,Yellow/Pink,New,CN,product,standard,1.0,men,Dejounte Murray My Personal Journey,sneakers,2021-04-01,True,False,140.0,New Balance TWO WXY,New-Balance-Two-Wxy-Dejounte-Murray-My-Personal-Journey,BB2WXYOM,New Balance TWO WXY Dejounte Murray My Personal Journey,92.0,8.0,13.0,1,3.0,0.0,110.0,11.5,20.0,1,225.0,85.0,80,150,0.308122,24.0,-0.179,129.0,115.0,9.5,3.0,5,0.045455,0.045455,3097.0,1677320713,1676856075,2023-02-24T02:52:58Z,7,81,95
70,,New Balance,New Balance 993,Grey/White,New,US,product,standard,1.0,men,Kith Grey (Standard Width),sneakers,2018-08-21,False,True,155.0,New Balance 993,New-Balance-993-Kith-Grey,MR993GL,New Balance 993 Kith Grey (Standard Width),216.0,11.5,26.0,1,2.0,4.0,179.0,11.0,63.0,1,390.0,136.0,197,247,0.114148,174.0,0.432,231.0,222.0,7.5,2.0,2,0.009091,0.009091,40215.0,1677448865,1676668923,2023-02-25T20:34:44Z,21,84,88
71,,New Balance,New Balance 574,Grey/Sea Salt,New,GB,product,standard,25.0,unisex,Grey Sea Salt,sneakers,,False,True,0.0,New Balance 574 Legacy,New-Balance-574-Legacy-Grey-Sea-Salt,U574LGVB,New Balance 574 Legacy Grey Sea Salt,114.0,12.0,86.0,1,2.0,0.0,90.0,9.5,8.0,1,163.0,99.0,110,134,0.100338,36.0,0.0,117.0,122.0,11.0,2.0,5,0.042735,0.042735,4230.0,1674607170,1675521495,2023-02-22T02:20:42Z,18,16,83
72,,New Balance,New Balance 997,Sweet Caramel/Natural Indigo,New,VN,product,standard,1.0,men,Sweet Caramel,sneakers,2022-03-16,False,False,90.0,New Balance 997H,New-Balance-997H-Sweet-Caramel,CM997HSK,New Balance 997H Sweet Caramel,97.0,8.0,20.0,1,1.0,2.0,100.0,10.5,7.0,1,245.0,67.0,86,140,0.239764,320.0,0.256,103.0,113.0,8.5,1.0,-16,-0.128535,0.128535,33054.0,1676652129,1677136429,2023-02-24T00:25:14Z,9,0,51
73,,New Balance,New Balance 992,Navy/Grey,New,US,product,standard,1.0,men,Navy Grey,sneakers,2020-01-01,False,True,175.0,New Balance 992,New-Balance-992-Navy-Grey,M992GG,New Balance 992 Navy Grey,332.0,15.0,42.0,1,1.0,2.0,358.0,9.5,114.0,1,660.0,185.0,245,385,0.222836,114.0,0.799,348.0,315.0,10.5,1.0,-54,-0.147857,0.147857,39657.0,1661722970,1676724908,2023-02-24T08:16:35Z,78,15,13
74,,New Balance,New Balance 327,White/Off White,New,VN,product,standard,1.0,men,Off White,sneakers,,True,False,100.0,New Balance 327,New-Balance-327-Off-White,MS327SBC,New Balance 327 Off White,96.0,6.0,61.0,1,1.0,2.0,98.0,7.0,2.0,1,209.0,80.0,71,107,0.19919,30.0,-0.11,121.0,89.0,6.5,1.0,-24,-0.212389,0.212389,3617.0,1676646110,1677248552,2023-02-24T10:23:07Z,85,81,23
75,,New Balance,New Balance 327,Magnet/White,New,CN,product,standard,1.0,women,Magnet White (W),sneakers,2023-01-24,False,True,95.0,New Balance 327,New-Balance-327-Magnet-White-W,WS327CG,New Balance 327 Magnet White (W),128.0,,37.0,1,1.0,1.0,70.0,,1.0,1,148.0,129.0,122,136,0.053698,8.0,0.358,136.0,129.0,,1.0,-19,-0.128378,0.128378,1085.0,1677428615,1677361349,2023-02-23T18:54:46Z,61,65,32
76,,New Balance,New Balance 550,White/Grey/Light Grey,New,CN,product,standard,1.0,men,United Arrows,sneakers,2021-12-04,False,True,145.0,New Balance 550,New-Balance-550-United-Arrows,BB550UN1,New Balance 550 United Arrows,226.0,9.0,38.0,1,0.0,1.0,250.0,13.0,37.0,1,529.0,132.0,55,205,0.574342,306.0,-0.103,255.0,130.0,7.5,0.0,-114,-0.467213,0.467213,78162.0,1676779111,1676982335,2023-02-22T21:50:35Z,42,30,16
77,,New Balance,New Balance Other,Blue Chill/Virtual Sky,New,CN,product,standard,1.0,men,Snowman,sneakers,2020-12-11,True,False,150.0,New Balance KAWHI,New-Balance-Kawhi-Snowman,BBKLSTO1,New Balance KAWHI Snowman,74.0,9.0,61.0,1,0.0,0.0,65.0,8.5,30.0,1,347.0,50.0,49,97,0.323401,203.0,-0.513,79.0,73.0,10.0,0.0,-19,-0.212941,0.212941,16094.0,1676990684,1677298871,2023-02-14T10:00:27Z,86,36,67
